subject_id,trial,correct_response,stim_time,response_time,x_coord,y_coord,trial_timeout,timeout_time,interTrial_timeout,left_rank,right_rank,distance,joint_rank,left_image,right_image
14,1,0,1445364227713,1445364227717,377,342,0,0,0,1,2,1,12,0004-00-0009-81.png,0002-00-0009-07.png
14,2,1,1445364231410,1445364231847,384,445,0,0,0,2,3,1,23,0002-00-0007-07.png,0003-00-0009-99.png
14,3,1,1445364232779,1445364233165,350,489,0,0,0,4,3,1,43,0005-00-0006-76.png,0003-00-0007-70.png
14,4,1,1445364234107,1445364234539,373,413,0,0,0,4,1,3,41,0005-00-0006-59.png,0004-00-0002-73.png
14,5,1,1445364238289,1445364238723,952,462,0,0,0,3,1,2,31,0003-00-0000-40.png,0004-00-0006-60.png
14,6,0,1445364241647,1445364241994,437,459,0,0,0,3,5,2,35,0003-00-0004-75.png,0001-00-0008-11.png
14,7,1,1445364248848,1445364249275,998,441,0,0,0,2,3,1,23,0002-00-0002-19.png,0003-00-0006-15.png
14,8,1,1445364250488,1445364250910,382,393,0,0,0,2,4,2,24,0002-00-0005-79.png,0005-00-0009-63.png
14,9,0,1445364251768,1445364252250,947,401,0,0,0,1,5,4,15,0004-00-0007-40.png,0001-00-0009-11.png
14,10,1,1445364255075,1445364255489,926,460,0,0,0,3,1,2,31,0003-00-0004-52.png,0004-00-0004-24.png
14,11,1,1445364256359,1445364256834,900,501,0,0,0,4,1,3,41,0005-00-0007-96.png,0004-00-0001-42.png
14,12,1,1445364259761,1445364260108,913,370,0,0,0,5,2,3,52,0001-00-0007-07.png,0002-00-0007-40.png
14,13,1,1445364261320,1445364261747,401,394,0,0,0,5,1,4,51,0001-00-0000-54.png,0004-00-0000-00.png
14,14,0,1445364264684,1445364265040,427,332,0,0,0,3,5,2,35,0003-00-0007-25.png,0001-00-0001-28.png
14,15,0,1445364265942,1445364266389,334,430,0,0,0,3,5,2,35,0003-00-0007-93.png,0001-00-0000-38.png
14,16,0,1445364267315,1445364267795,898,360,0,0,0,5,2,3,52,0001-00-0002-09.png,0002-00-0007-82.png
14,17,1,1445364268727,1445364269290,926,339,0,0,0,1,5,4,15,0004-00-0006-19.png,0001-00-0004-49.png
14,18,1,1445364270267,1445364270678,306,400,0,0,0,3,1,2,31,0003-00-0009-97.png,0004-00-0005-37.png
14,19,1,1445364273676,1445364274067,319,408,0,0,0,1,4,3,14,0004-00-0000-94.png,0005-00-0004-55.png
14,20,0,1445364275286,1445364275688,880,505,0,0,0,2,3,1,23,0002-00-0001-30.png,0003-00-0008-41.png
14,21,0,1445364278754,1445364279152,504,395,0,0,0,2,5,3,25,0002-00-0004-17.png,0001-00-0002-59.png
14,22,1,1445364282252,1445364282671,401,411,0,0,0,2,3,1,23,0002-00-0003-10.png,0003-00-0000-72.png
14,23,1,1445364285752,1445364286181,335,464,0,0,0,4,1,3,41,0005-00-0007-89.png,0004-00-0006-63.png
14,24,1,1445364287382,1445364287751,376,358,0,0,0,3,5,2,35,0003-00-0005-71.png,0001-00-0007-48.png
14,25,1,1445364288773,1445364289274,927,370,0,0,0,5,1,4,51,0001-00-0009-68.png,0004-00-0003-71.png
14,26,0,1445364290193,1445364290680,925,386,0,0,0,5,3,2,53,0001-00-0005-75.png,0003-00-0009-37.png
14,27,0,1445364293529,1445364293929,886,450,0,0,0,4,3,1,43,0005-00-0003-30.png,0003-00-0005-00.png
14,28,0,1445364294825,1445364295285,291,443,0,0,0,5,3,2,53,0001-00-0005-32.png,0003-00-0006-13.png
14,29,0,1445364296194,1445364296802,879,392,0,0,0,1,2,1,12,0004-00-0003-28.png,0002-00-0000-74.png
14,30,0,1445364302080,1445364302471,348,384,0,0,0,4,5,1,45,0005-00-0007-02.png,0001-00-0000-41.png
14,31,1,1445364303348,1445364303823,908,461,0,0,0,2,5,3,25,0002-00-0008-63.png,0001-00-0003-17.png
14,32,1,1445364304711,1445364305207,922,472,0,0,0,2,4,2,24,0002-00-0009-91.png,0005-00-0006-82.png
14,33,1,1445364306133,1445364306607,900,476,0,0,0,5,1,4,51,0001-00-0004-36.png,0004-00-0005-77.png
14,34,1,1445364307565,1445364309012,511,363,0,0,0,4,2,2,42,0005-00-0004-51.png,0002-00-0008-40.png
14,35,0,1445364312118,1445364312604,343,355,0,0,0,2,3,1,23,0002-00-0000-70.png,0003-00-0009-46.png
14,36,1,1445364313436,1445364313974,338,444,0,0,0,5,3,2,53,0001-00-0006-56.png,0003-00-0007-77.png
14,37,1,1445364314909,1445364315321,359,418,0,0,0,5,3,2,53,0001-00-0001-39.png,0003-00-0008-21.png
14,38,1,1445364316260,1445364316737,903,470,0,0,0,4,2,2,42,0005-00-0007-64.png,0002-00-0001-66.png
14,39,1,1445364317671,1445364318094,390,410,0,0,0,1,4,3,14,0004-00-0001-21.png,0005-00-0006-02.png
14,40,0,1445364319055,1445364319532,938,398,0,0,0,2,1,1,21,0002-00-0006-31.png,0004-00-0008-14.png
14,41,1,1445364320435,1445364320853,427,423,0,0,0,2,3,1,23,0002-00-0006-03.png,0003-00-0005-63.png
14,42,0,1445364321848,1445364322292,308,402,0,0,0,1,2,1,12,0004-00-0009-29.png,0002-00-0002-94.png
14,43,1,1445364323357,1445364323808,410,543,0,0,0,3,4,1,34,0003-00-0009-10.png,0005-00-0002-12.png
14,44,1,1445364332870,1445364333373,894,518,0,0,0,2,4,2,24,0002-00-0009-22.png,0005-00-0009-68.png
14,45,1,1445364334252,1445364334718,904,480,0,0,0,2,1,1,21,0002-00-0005-72.png,0004-00-0001-12.png
14,46,1,1445364335593,1445364336160,345,446,0,0,0,4,2,2,42,0005-00-0001-15.png,0002-00-0000-20.png
14,47,0,1445364339062,1445364339397,877,496,0,0,0,2,4,2,24,0002-00-0001-60.png,0005-00-0006-19.png
14,48,0,1445364342380,1445364342784,948,384,0,0,0,5,1,4,51,0001-00-0006-80.png,0004-00-0006-88.png
14,49,1,1445364343629,1445364344126,390,527,0,0,0,1,4,3,14,0004-00-0003-40.png,0005-00-0006-76.png
14,50,1,1445364345074,1445364345510,330,442,0,0,0,3,1,2,31,0003-00-0004-85.png,0004-00-0002-82.png
14,51,1,1445364346406,1445364346952,880,401,0,0,0,1,3,2,13,0004-00-0002-56.png,0003-00-0007-52.png
14,52,1,1445364348035,1445364348608,876,501,0,0,0,2,5,3,25,0002-00-0009-52.png,0001-00-0009-19.png
14,53,1,1445364351576,1445364352064,900,436,0,0,0,2,4,2,24,0002-00-0009-86.png,0005-00-0009-17.png
14,54,0,1445364353016,1445364353511,347,467,0,0,0,5,3,2,53,0001-00-0004-86.png,0003-00-0006-72.png
14,55,1,1445364356921,1445364357388,876,476,0,0,0,4,1,3,41,0005-00-0005-05.png,0004-00-0004-96.png
14,56,1,1445364358293,1445364358776,392,520,0,0,0,1,4,3,14,0004-00-0006-14.png,0005-00-0009-71.png
14,57,1,1445364359705,1445364360177,896,445,0,0,0,5,2,3,52,0001-00-0008-01.png,0002-00-0007-36.png
14,58,0,1445364361146,1445364361598,366,518,0,0,0,5,3,2,53,0001-00-0003-70.png,0003-00-0004-44.png
14,59,1,1445364362578,1445364363062,899,476,0,0,0,4,2,2,42,0005-00-0009-39.png,0002-00-0008-18.png
14,60,1,1445364363989,1445364364569,925,385,0,0,0,2,4,2,24,0002-00-0005-54.png,0005-00-0000-32.png
14,61,1,1445364368276,1445364368717,931,401,0,0,0,4,2,2,42,0005-00-0006-43.png,0002-00-0003-18.png
14,62,0,1445364369641,1445364370127,338,441,0,0,0,3,4,1,34,0003-00-0008-91.png,0005-00-0008-23.png
14,63,1,1445364371095,1445364371581,886,481,0,0,0,4,5,1,45,0005-00-0007-17.png,0001-00-0005-71.png
14,64,1,1445364372526,1445364372999,325,462,0,0,0,1,4,3,14,0004-00-0005-69.png,0005-00-0006-87.png
14,65,0,1445364374017,1445364374547,874,476,0,0,0,4,5,1,45,0005-00-0009-88.png,0001-00-0000-63.png
14,66,1,1445364375459,1445364375918,376,410,0,0,0,5,2,3,52,0001-00-0005-95.png,0002-00-0004-50.png
14,67,0,1445364376818,1445364377353,905,419,0,0,0,3,2,1,32,0003-00-0009-54.png,0002-00-0004-84.png
14,68,1,1445364380485,1445364380910,896,472,0,0,0,4,1,3,41,0005-00-0001-99.png,0004-00-0004-64.png
14,69,1,1445364381747,1445364382226,345,425,0,0,0,4,2,2,42,0005-00-0001-42.png,0002-00-0006-21.png
14,70,0,1445364383219,1445364383683,317,469,0,0,0,2,3,1,23,0002-00-0006-95.png,0003-00-0003-81.png
14,71,0,1445364384640,1445364385119,331,462,0,0,0,3,2,1,32,0003-00-0004-71.png,0002-00-0006-80.png
14,72,1,1445364388356,1445364388792,953,409,0,0,0,1,3,2,13,0004-00-0001-74.png,0003-00-0007-29.png
14,73,0,1445364389709,1445364390145,362,425,0,0,0,5,4,1,54,0001-00-0009-70.png,0005-00-0005-47.png
14,74,0,1445364391119,1445364391543,362,443,0,0,0,5,3,2,53,0001-00-0007-81.png,0003-00-0006-39.png
14,75,1,1445364394618,1445364395106,933,382,0,0,0,5,1,4,51,0001-00-0009-32.png,0004-00-0008-83.png
14,76,1,1445364396000,1445364396494,877,493,0,0,0,4,2,2,42,0005-00-0005-61.png,0002-00-0002-23.png
14,77,1,1445364397442,1445364397934,902,415,0,0,0,1,4,3,14,0004-00-0008-44.png,0005-00-0000-77.png
14,78,1,1445364398861,1445364399426,872,429,0,0,0,1,4,3,14,0004-00-0008-71.png,0005-00-0003-61.png
14,79,0,1445364402300,1445364402384,504,395,0,0,0,5,4,1,54,0001-00-0006-71.png,0005-00-0003-05.png
14,80,0,1445364403413,1445364403899,902,415,0,0,0,3,5,2,35,0003-00-0000-73.png,0001-00-0006-50.png
14,81,1,1445364407291,1445364407746,894,481,0,0,0,1,5,4,15,0004-00-0009-88.png,0001-00-0001-63.png
14,82,1,1445364408645,1445364409144,360,434,0,0,0,2,3,1,23,0002-00-0008-67.png,0003-00-0005-83.png
14,83,1,1445364410112,1445364410577,392,415,0,0,0,3,2,1,32,0003-00-0006-13.png,0002-00-0005-53.png
14,84,0,1445364412207,1445364412716,299,384,0,0,0,2,1,1,21,0002-00-0002-35.png,0004-00-0004-20.png
14,85,1,1445364415697,1445364416127,307,405,0,0,0,4,2,2,42,0005-00-0000-59.png,0002-00-0003-11.png
14,86,0,1445364417140,1445364417639,940,397,0,0,0,4,2,2,42,0005-00-0003-25.png,0002-00-0000-04.png
14,87,0,1445364418581,1445364419075,335,435,0,0,0,5,3,2,53,0001-00-0002-12.png,0003-00-0009-66.png
14,88,1,1445364420130,1445364420637,953,410,0,0,0,1,2,1,12,0004-00-0009-53.png,0002-00-0009-15.png
14,89,1,1445364421553,1445364422016,325,424,0,0,0,2,5,3,25,0002-00-0004-23.png,0001-00-0004-49.png
14,90,1,1445364423113,1445364423609,908,499,0,0,0,2,1,1,21,0002-00-0008-75.png,0004-00-0004-93.png
14,91,1,1445364424604,1445364425130,324,442,0,0,0,5,1,4,51,0001-00-0006-47.png,0004-00-0002-48.png
14,92,0,1445364426115,1445364427116,925,412,0,0,0,1,2,1,12,0004-00-0003-94.png,0002-00-0001-24.png
14,93,0,1445364428033,1445364428516,338,458,0,0,0,3,4,1,34,0003-00-0007-16.png,0005-00-0004-59.png
14,94,1,1445364429582,1445364430080,900,410,0,0,0,4,2,2,42,0005-00-0005-99.png,0002-00-0000-30.png
14,95,1,1445364431084,1445364431534,317,427,0,0,0,2,5,3,25,0002-00-0000-28.png,0001-00-0005-96.png
14,96,1,1445364432446,1445364433001,900,463,0,0,0,2,3,1,23,0002-00-0001-12.png,0003-00-0004-21.png
14,97,0,1445364434027,1445364434534,888,475,0,0,0,4,5,1,45,0005-00-0005-81.png,0001-00-0008-03.png
14,98,0,1445364435557,1445364436001,381,400,0,0,0,5,4,1,54,0001-00-0009-58.png,0005-00-0002-65.png
14,99,0,1445364437097,1445364437643,388,502,0,0,0,3,1,2,31,0003-00-0001-47.png,0004-00-0008-49.png
14,100,0,1445364438658,1445364439111,427,450,0,0,0,5,3,2,53,0001-00-0004-59.png,0003-00-0002-63.png
14,101,0,1445364442732,1445364443222,921,420,0,0,0,4,1,3,41,0005-00-0003-84.png,0004-00-0005-21.png
14,102,1,1445364444706,1445364445149,888,476,0,0,0,2,1,1,21,0002-00-0009-41.png,0004-00-0009-57.png
14,103,1,1445364448385,1445364448769,926,411,0,0,0,1,4,3,14,0004-00-0003-51.png,0005-00-0005-59.png
14,104,1,1445364449781,1445364450197,370,538,0,0,0,4,3,1,43,0005-00-0008-21.png,0003-00-0000-51.png
14,105,0,1445364451141,1445364451629,900,475,0,0,0,4,3,1,43,0005-00-0001-65.png,0003-00-0009-69.png
14,106,0,1445364452592,1445364453126,901,411,0,0,0,2,4,2,24,0002-00-0001-92.png,0005-00-0004-88.png
14,107,1,1445364454507,1445364454958,299,417,0,0,0,2,5,3,25,0002-00-0008-98.png,0001-00-0009-29.png
14,108,1,1445364455942,1445364456389,316,426,0,0,0,2,5,3,25,0002-00-0000-68.png,0001-00-0006-36.png
14,109,1,1445364457363,1445364457779,387,423,0,0,0,3,2,1,32,0003-00-0006-29.png,0002-00-0000-76.png
14,110,1,1445364458824,1445364459339,912,398,0,0,0,4,1,3,41,0005-00-0000-16.png,0004-00-0006-69.png
14,111,0,1445364460276,1445364460728,355,438,0,0,0,3,4,1,34,0003-00-0009-97.png,0005-00-0001-73.png
14,112,1,1445364461768,1445364462289,917,427,0,0,0,5,2,3,52,0001-00-0003-88.png,0002-00-0002-31.png
14,113,1,1445364463347,1445364463791,344,400,0,0,0,1,3,2,13,0004-00-0006-91.png,0003-00-0006-50.png
14,114,1,1445364464801,1445364465207,325,423,0,0,0,3,1,2,31,0003-00-0005-90.png,0004-00-0005-97.png
14,115,1,1445364466437,1445364466992,876,414,0,0,0,4,3,1,43,0005-00-0006-75.png,0003-00-0007-80.png
14,116,1,1445364469887,1445364470260,927,383,0,0,0,5,2,3,52,0001-00-0007-81.png,0002-00-0007-52.png
14,117,1,1445364471218,1445364471693,899,482,0,0,0,1,4,3,14,0004-00-0004-49.png,0005-00-0004-33.png
14,118,1,1445364472638,1445364473082,391,442,0,0,0,5,4,1,54,0001-00-0008-85.png,0005-00-0000-44.png
14,119,1,1445364474172,1445364474644,901,487,0,0,0,2,1,1,21,0002-00-0004-23.png,0004-00-0005-28.png
14,120,1,1445364475731,1445364476221,924,404,0,0,0,3,2,1,32,0003-00-0004-20.png,0002-00-0009-83.png
14,121,0,1445364477170,1445364477645,393,453,0,0,0,1,2,1,12,0004-00-0000-19.png,0002-00-0007-56.png
14,122,1,1445364478711,1445364479162,312,412,0,0,0,3,1,2,31,0003-00-0009-42.png,0004-00-0002-95.png
14,123,1,1445364480181,1445364480852,359,375,0,0,0,1,3,2,13,0004-00-0007-80.png,0003-00-0003-12.png
14,124,1,1445364484079,1445364484519,875,529,0,0,0,3,4,1,34,0003-00-0006-20.png,0005-00-0001-36.png
14,125,0,1445364485518,1445364485980,901,486,0,0,0,5,4,1,54,0001-00-0005-54.png,0005-00-0007-70.png
14,126,1,1445364486951,1445364487563,419,492,0,0,0,3,4,1,34,0003-00-0002-84.png,0005-00-0009-63.png
14,127,1,1445364488661,1445364489084,350,410,0,0,0,1,4,3,14,0004-00-0000-46.png,0005-00-0005-68.png
14,128,0,1445364490041,1445364490532,927,409,0,0,0,1,5,4,15,0004-00-0009-72.png,0001-00-0005-28.png
14,129,0,1445364491482,1445364492000,949,406,0,0,0,1,3,2,13,0004-00-0007-67.png,0003-00-0005-36.png
14,130,1,1445364493063,1445364493548,876,520,0,0,0,4,1,3,41,0005-00-0001-03.png,0004-00-0008-96.png
14,131,1,1445364494724,1445364495172,347,405,0,0,0,5,3,2,53,0001-00-0004-83.png,0003-00-0005-32.png
14,132,0,1445364496252,1445364496754,913,501,0,0,0,5,1,4,51,0001-00-0005-44.png,0004-00-0008-46.png
14,133,1,1445364497736,1445364498113,378,422,0,0,0,4,5,1,45,0005-00-0007-47.png,0001-00-0003-41.png
14,134,0,1445364499127,1445364499552,376,399,0,0,0,5,3,2,53,0001-00-0008-70.png,0003-00-0007-92.png
14,135,1,1445364500644,1445364501142,889,501,0,0,0,2,3,1,23,0002-00-0002-02.png,0003-00-0004-99.png
14,136,1,1445364502077,1445364502547,370,440,0,0,0,4,5,1,45,0005-00-0001-73.png,0001-00-0002-59.png
14,137,0,1445364503580,1445364504172,876,450,0,0,0,1,4,3,14,0004-00-0005-04.png,0005-00-0000-74.png
14,138,1,1445364505100,1445364505626,890,493,0,0,0,1,5,4,15,0004-00-0008-40.png,0001-00-0007-67.png
14,139,1,1445364509789,1445364510233,888,419,0,0,0,4,5,1,45,0005-00-0001-99.png,0001-00-0001-23.png
14,140,0,1445364511181,1445364511590,350,410,0,0,0,1,2,1,12,0004-00-0003-58.png,0002-00-0008-89.png
14,141,0,1445364512593,1445364513012,364,524,0,0,0,5,3,2,53,0001-00-0001-74.png,0003-00-0005-76.png
14,142,1,1445364513985,1445364514577,876,424,0,0,0,1,3,2,13,0004-00-0000-83.png,0003-00-0008-37.png
14,143,1,1445364515533,1445364516032,340,420,0,0,0,5,1,4,51,0001-00-0002-56.png,0004-00-0000-82.png
14,144,0,1445364517005,1445364517502,925,412,0,0,0,3,5,2,35,0003-00-0001-23.png,0001-00-0000-07.png
14,145,1,1445364518445,1445364518909,391,441,0,0,0,2,5,3,25,0002-00-0006-78.png,0001-00-0006-94.png
14,146,0,1445364519849,1445364520351,420,539,0,0,0,1,2,1,12,0004-00-0005-54.png,0002-00-0008-31.png
14,147,1,1445364521409,1445364521903,908,439,0,0,0,3,1,2,31,0003-00-0008-26.png,0004-00-0005-16.png
14,148,1,1445364522865,1445364523427,392,407,0,0,0,5,1,4,51,0001-00-0004-63.png,0004-00-0007-08.png
14,149,1,1445364527251,1445364527667,870,524,0,0,0,3,1,2,31,0003-00-0006-41.png,0004-00-0005-69.png
14,150,1,1445364528651,1445364529300,466,358,0,0,0,4,3,1,43,0005-00-0002-09.png,0003-00-0004-37.png
14,151,1,1445364530384,1445364530823,376,424,0,0,0,2,4,2,24,0002-00-0007-73.png,0005-00-0000-48.png
14,152,1,1445364532248,1445364532705,900,502,0,0,0,5,2,3,52,0001-00-0008-59.png,0002-00-0005-31.png
14,153,1,1445364533661,1445364534189,888,423,0,0,0,4,5,1,45,0005-00-0002-91.png,0001-00-0001-82.png
14,154,1,1445364535102,1445364535596,857,514,0,0,0,5,1,4,51,0001-00-0007-70.png,0004-00-0001-61.png
14,155,1,1445364536533,1445364537111,901,440,0,0,0,2,4,2,24,0002-00-0004-72.png,0005-00-0007-04.png
14,156,1,1445364538075,1445364538474,401,436,0,0,0,3,4,1,34,0003-00-0009-10.png,0005-00-0006-31.png
14,157,1,1445364539464,1445364540011,344,426,0,0,0,5,1,4,51,0001-00-0009-68.png,0004-00-0000-70.png
14,158,1,1445364540986,1445364541497,894,404,0,0,0,4,3,1,43,0005-00-0002-55.png,0003-00-0009-09.png
14,159,0,1445364544743,1445364545181,282,444,0,0,0,1,5,4,15,0004-00-0004-09.png,0001-00-0000-09.png
14,160,1,1445364546104,1445364546598,902,424,0,0,0,4,5,1,45,0005-00-0009-63.png,0001-00-0004-81.png
14,161,0,1445364547555,1445364547989,388,436,0,0,0,1,4,3,14,0004-00-0009-58.png,0005-00-0008-30.png
14,162,0,1445364549086,1445364549557,930,427,0,0,0,1,3,2,13,0004-00-0003-01.png,0003-00-0002-83.png
14,163,1,1445364550600,1445364551048,388,517,0,0,0,5,4,1,54,0001-00-0001-18.png,0005-00-0004-48.png
14,164,0,1445364552047,1445364552456,390,424,0,0,0,1,2,1,12,0004-00-0008-50.png,0002-00-0006-97.png
14,165,0,1445364553527,1445364553997,882,516,0,0,0,3,4,1,34,0003-00-0009-27.png,0005-00-0004-53.png
14,166,1,1445364555003,1445364555536,904,401,0,0,0,4,2,2,42,0005-00-0005-51.png,0002-00-0000-61.png
14,167,0,1445364556527,1445364557086,888,423,0,0,0,1,3,2,13,0004-00-0000-57.png,0003-00-0008-31.png
14,168,1,1445364558124,1445364558595,337,449,0,0,0,1,2,1,12,0004-00-0003-69.png,0002-00-0004-21.png
14,169,1,1445364559601,1445364560064,905,402,0,0,0,5,2,3,52,0001-00-0002-24.png,0002-00-0008-19.png
14,170,1,1445364561113,1445364561612,905,402,0,0,0,2,1,1,21,0002-00-0007-34.png,0004-00-0000-83.png
14,171,1,1445364562594,1445364563049,390,423,0,0,0,1,4,3,14,0004-00-0000-58.png,0005-00-0001-26.png
14,172,0,1445364564174,1445364564646,875,488,0,0,0,2,1,1,21,0002-00-0001-29.png,0004-00-0008-68.png
14,173,0,1445364565705,1445364566164,331,439,0,0,0,3,4,1,34,0003-00-0002-03.png,0005-00-0003-83.png
14,174,0,1445364567199,1445364567678,325,463,0,0,0,4,3,1,43,0005-00-0004-68.png,0003-00-0009-56.png
14,175,1,1445364568827,1445364569291,342,480,0,0,0,5,1,4,51,0001-00-0008-24.png,0004-00-0006-80.png
14,176,1,1445364572273,1445364572698,369,463,0,0,0,4,2,2,42,0005-00-0003-93.png,0002-00-0000-46.png
14,177,1,1445364573726,1445364574192,915,517,0,0,0,5,1,4,51,0001-00-0008-67.png,0004-00-0005-47.png
14,178,1,1445364575195,1445364575663,346,452,0,0,0,4,3,1,43,0005-00-0006-04.png,0003-00-0002-77.png
14,179,1,1445364576764,1445364577238,325,462,0,0,0,5,3,2,53,0001-00-0004-53.png,0003-00-0005-47.png
14,180,1,1445364578180,1445364578755,862,398,0,0,0,4,2,2,42,0005-00-0000-43.png,0002-00-0004-06.png
14,181,1,1445364579728,1445364580237,900,410,0,0,0,3,2,1,32,0003-00-0003-11.png,0002-00-0007-34.png
14,182,1,1445364583625,1445364584053,357,399,0,0,0,5,1,4,51,0001-00-0004-02.png,0004-00-0008-70.png
14,183,0,1445364585145,1445364585670,956,351,0,0,0,1,2,1,12,0004-00-0003-91.png,0002-00-0001-59.png
14,184,1,1445364586685,1445364587159,883,506,0,0,0,3,1,2,31,0003-00-0008-59.png,0004-00-0001-40.png
14,185,1,1445364588138,1445364588612,931,388,0,0,0,2,1,1,21,0002-00-0007-54.png,0004-00-0004-44.png
14,186,1,1445364589719,1445364590160,401,514,0,0,0,3,2,1,32,0003-00-0009-78.png,0002-00-0000-93.png
14,187,1,1445364591181,1445364591678,900,384,0,0,0,4,1,3,41,0005-00-0006-41.png,0004-00-0008-80.png
14,188,0,1445364592798,1445364593323,901,398,0,0,0,1,2,1,12,0004-00-0005-32.png,0002-00-0002-23.png
14,189,0,1445364596436,1445364596893,873,507,0,0,0,3,4,1,34,0003-00-0002-93.png,0005-00-0002-41.png
14,190,1,1445364597850,1445364598303,346,446,0,0,0,1,3,2,13,0004-00-0002-83.png,0003-00-0009-47.png
14,191,1,1445364599321,1445364599744,376,384,0,0,0,5,3,2,53,0001-00-0003-98.png,0003-00-0006-80.png
14,192,0,1445364600931,1445364601556,340,397,0,0,0,2,4,2,24,0002-00-0006-81.png,0005-00-0001-86.png
14,193,1,1445364604597,1445364604991,951,437,0,0,0,2,3,1,23,0002-00-0006-31.png,0003-00-0001-62.png
14,194,0,1445364606050,1445364606453,376,423,0,0,0,3,4,1,34,0003-00-0007-29.png,0005-00-0002-78.png
14,195,0,1445364607561,1445364608111,939,425,0,0,0,4,3,1,43,0005-00-0006-79.png,0003-00-0005-77.png
14,196,1,1445364609150,1445364609659,921,393,0,0,0,2,4,2,24,0002-00-0002-96.png,0005-00-0006-41.png
14,197,0,1445364610831,1445364611275,394,423,0,0,0,3,4,1,34,0003-00-0001-00.png,0005-00-0005-68.png
14,198,1,1445364612372,1445364612855,925,411,0,0,0,4,1,3,41,0005-00-0003-14.png,0004-00-0004-86.png
14,199,1,1445364614032,1445364614440,385,445,0,0,0,3,2,1,32,0003-00-0000-20.png,0002-00-0000-05.png
14,200,1,1445364615543,1445364615947,284,430,0,0,0,4,3,1,43,0005-00-0001-50.png,0003-00-0002-65.png
14,201,1,1445364617196,1445364617622,369,496,0,0,0,2,3,1,23,0002-00-0000-94.png,0003-00-0009-32.png
14,202,1,1445364618725,1445364619257,947,394,0,0,0,4,3,1,43,0005-00-0004-45.png,0003-00-0007-42.png
14,203,1,1445364620264,1445364620802,331,400,0,0,0,2,1,1,21,0002-00-0005-35.png,0004-00-0000-61.png
14,204,0,1445364621973,1445364622416,325,436,0,0,0,3,5,2,35,0003-00-0009-94.png,0001-00-0008-50.png
14,205,0,1445364623515,1445364623901,368,427,0,0,0,4,5,1,45,0005-00-0007-91.png,0001-00-0002-31.png
14,206,0,1445364625104,1445364625622,918,409,0,0,0,2,1,1,21,0002-00-0008-68.png,0004-00-0006-75.png
14,207,0,1445364626676,1445364627177,875,476,0,0,0,4,5,1,45,0005-00-0007-81.png,0001-00-0002-93.png
14,208,1,1445364628187,1445364628632,337,423,0,0,0,3,5,2,35,0003-00-0007-83.png,0001-00-0007-22.png
14,209,1,1445364631512,1445364632100,359,398,0,0,0,3,1,2,31,0003-00-0007-70.png,0004-00-0003-11.png
14,210,1,1445364633137,1445364633612,902,415,0,0,0,1,4,3,14,0004-00-0003-75.png,0005-00-0004-73.png
14,211,1,1445364634657,1445364635076,363,423,0,0,0,1,5,4,15,0004-00-0006-78.png,0001-00-0000-09.png
14,212,0,1445364636169,1445364636597,371,530,0,0,0,4,5,1,45,0005-00-0003-52.png,0001-00-0007-96.png
